geneID	LG	start	stop	strand	biotype
100697009	NC_031965.1	1964429	1969378	-	protein_coding
100691394	NC_031965.1	1971853	1974006	-	protein_coding
100696741	NC_031965.1	1976056	1978884	-	protein_coding
100696472	NC_031965.1	1979601	1987956	-	protein_coding
109202656	NC_031965.1	2002091	2003624	-	protein_coding
100696207	NC_031965.1	2008739	2159978	+	protein_coding
109204740	NC_031965.1	2028880	2029468	-	lncRNA
102076295	NC_031965.1	2092102	2094558	+	protein_coding
100695948	NC_031965.1	2161791	2184092	-	protein_coding
102076095	NC_031965.1	2186559	2211443	-	protein_coding
100695681	NC_031965.1	2214055	2217427	-	protein_coding
100691126	NC_031965.1	2222892	2242826	-	protein_coding
109204789	NC_031965.1	2362864	2365521	+	lncRNA
109204809	NC_031965.1	2436667	2447252	-	lncRNA
100700676	NC_031965.1	2444452	2448175	+	protein_coding
109204805	NC_031965.1	2451925	2452746	+	lncRNA
100700941	NC_031965.1	2456283	2517537	+	protein_coding
102080170	NC_031965.1	2462222	2480600	-	lncRNA
100704911	NC_031965.1	2522559	2540482	+	protein_coding
109202691	NC_031965.1	2598499	2600804	-	protein_coding
100705180	NC_031965.1	2681415	2973842	+	protein_coding
106098917	NC_031965.1	2830007	2838021	-	protein_coding
102080524	NC_031965.1	3029867	3041577	+	lncRNA
100701218	NC_031965.1	3041833	3045674	-	lncRNA
100705450	NC_031965.1	3046893	3156835	-	protein_coding
109204947	NC_031965.1	3273715	3276345	-	protein_coding
109202045	NC_031965.1	3282664	3284689	+	protein_coding
109204980	NC_031965.1	3315387	3317050	+	protein_coding
109202059	NC_031965.1	3321471	3324127	+	protein_coding
102081039	NC_031965.1	3340534	3342865	+	protein_coding
100706236	NC_031965.1	3359608	3430281	-	protein_coding
106098913	NC_031965.1	3368855	3417914	-	protein_coding
106097126	NC_031965.1	3473773	3490576	-	pseudogene
102080225	NC_031965.1	3508592	3510576	-	protein_coding
100701401	NC_031965.1	3546433	3555980	-	protein_coding
100701672	NC_031965.1	3556396	3637203	+	protein_coding
100701948	NC_031965.1	3643156	3660912	-	protein_coding
100699059	NC_031965.1	3663958	3684543	-	protein_coding
100699329	NC_031965.1	3687316	3692292	-	protein_coding
109194612	NC_031965.1	3703372	3709106	+	pseudogene
100702482	NC_031965.1	3723334	3831400	+	protein_coding
100699600	NC_031965.1	3832775	3857469	-	protein_coding
100702753	NC_031965.1	3860807	3873679	-	protein_coding
100703021	NC_031965.1	3877328	3891788	+	protein_coding
106098920	NC_031965.1	3901719	3903738	+	lncRNA
100699863	NC_031965.1	3918291	3923487	+	protein_coding
100703294	NC_031965.1	3927167	3940846	+	protein_coding
100703563	NC_031965.1	3941523	3949042	-	protein_coding
100703837	NC_031965.1	4049889	4120248	+	protein_coding
100700131	NC_031965.1	4168965	4178827	+	protein_coding
100700406	NC_031965.1	4180769	4186710	-	protein_coding
100704105	NC_031965.1	4188762	4197135	-	protein_coding
102079376	NC_031965.1	4204112	4208089	+	lncRNA
106098915	NC_031965.1	4285412	4286834	+	lncRNA
100704374	NC_031965.1	4327472	4413245	+	protein_coding
100704641	NC_031965.1	4413313	4417427	-	protein_coding
109203250	NC_031965.1	4454522	4456642	+	lncRNA
100699437	NC_031965.1	4475734	4481652	+	protein_coding
102083084	NC_031965.1	4482670	4485654	-	pseudogene
100699707	NC_031965.1	4487638	4497334	-	protein_coding
100699972	NC_031965.1	4559459	4574102	+	protein_coding
100700241	NC_031965.1	4574599	4591374	-	protein_coding
100700518	NC_031965.1	4591760	4625716	-	protein_coding
100698369	NC_031965.1	4639739	4654422	-	protein_coding
100700783	NC_031965.1	4661622	4670412	+	protein_coding
100701053	NC_031965.1	4692837	4740367	+	protein_coding
109195108	NC_031965.1	4706108	4709419	-	lncRNA
106096599	NC_031965.1	4763440	4764273	+	lncRNA
100701326	NC_031965.1	4787441	4867991	-	protein_coding
102082777	NC_031965.1	4873007	4928454	+	protein_coding
100701596	NC_031965.1	4880123	4908469	-	protein_coding
100698633	NC_031965.1	4931552	4944440	+	protein_coding
100701872	NC_031965.1	4958279	5025337	-	protein_coding
109195246	NC_031965.1	4973950	4976302	+	lncRNA
100705512	NC_031965.1	5095981	5116019	+	protein_coding
100694351	NC_031965.1	5145621	5242092	+	protein_coding
109202933	NC_031965.1	5224235	5224320	+	tRNA
106098615	NC_031965.1	5241848	5244129	-	lncRNA
109195458	NC_031965.1	5248975	5252903	-	protein_coding
100694079	NC_031965.1	5273630	5310213	+	protein_coding
102083001	NC_031965.1	5337873	5518918	+	protein_coding
109202189	NC_031965.1	5409262	5411494	-	protein_coding
102080808	NC_031965.1	5522804	5527518	-	protein_coding
100698902	NC_031965.1	5529742	5538628	-	protein_coding
100699169	NC_031965.1	5538876	5555487	+	protein_coding
109195665	NC_031965.1	5557125	5573802	+	protein_coding
100691051	NC_031965.1	5602758	5608487	-	protein_coding
109195670	NC_031965.1	5724536	5727198	-	protein_coding
100692126	NC_031965.1	5828751	5866926	-	protein_coding
100690785	NC_031965.1	5879881	5904035	+	protein_coding
100690510	NC_031965.1	5905923	5918764	+	protein_coding
100691858	NC_031965.1	5920525	5937937	-	protein_coding
100691590	NC_031965.1	5959471	5966184	-	protein_coding
100691318	NC_031965.1	5966735	5981624	+	protein_coding
109195969	NC_031965.1	5975089	5975932	+	lncRNA
100690082	NC_031965.1	5983786	5997437	-	protein_coding
109194287	NC_031965.1	6025085	6037662	-	protein_coding
100691932	NC_031965.1	6040164	6089554	-	protein_coding
109202198	NC_031965.1	6117671	6125992	-	pseudogene
102078312	NC_031965.1	6141587	6155817	-	protein_coding
100697541	NC_031965.1	6156314	6171644	+	protein_coding
109196193	NC_031965.1	6167779	6169219	-	lncRNA
100697813	NC_031965.1	6171223	6186216	-	protein_coding
100692200	NC_031965.1	6187989	6204787	+	protein_coding
100692470	NC_031965.1	6206494	6209553	+	protein_coding
100692739	NC_031965.1	6212106	6218067	-	protein_coding
100693012	NC_031965.1	6219412	6232595	+	protein_coding
100698080	NC_031965.1	6237094	6252981	+	protein_coding
100698347	NC_031965.1	6252790	6293139	-	protein_coding
102079740	NC_031965.1	6296093	6496609	+	protein_coding
100699221	NC_031965.1	6538676	6546897	-	protein_coding
100698957	NC_031965.1	6555300	6607970	-	protein_coding
102079306	NC_031965.1	6608378	6619821	-	protein_coding
100712122	NC_031965.1	6622622	6625161	-	protein_coding
100711854	NC_031965.1	6735795	6739983	-	protein_coding
109202754	NC_031965.1	6829227	6831140	+	lncRNA
106098639	NC_031965.1	6905376	6907156	-	protein_coding
100698419	NC_031965.1	6920554	6929139	+	protein_coding
102080057	NC_031965.1	6937282	6949561	+	protein_coding
100698156	NC_031965.1	6951059	6975148	+	protein_coding
102078954	NC_031965.1	6974839	6978474	-	protein_coding
100697889	NC_031965.1	6987887	6998884	+	protein_coding
100704093	NC_031965.1	7028941	7073702	+	protein_coding
100703825	NC_031965.1	7163993	7186853	-	protein_coding
102078281	NC_031965.1	7189295	7195482	-	lncRNA
100697622	NC_031965.1	7208789	7226752	-	protein_coding
100703551	NC_031965.1	7226771	7233046	+	protein_coding
100697354	NC_031965.1	7232014	7250602	-	protein_coding
100703282	NC_031965.1	7253356	7254196	+	protein_coding
100697082	NC_031965.1	7257866	7298413	-	protein_coding
109202772	NC_031965.1	7337564	7343507	-	lncRNA
100703008	NC_031965.1	7348143	7364983	-	protein_coding
100696549	NC_031965.1	7391962	7533429	+	protein_coding
109196792	NC_031965.1	7588550	7591889	+	protein_coding
100696022	NC_031965.1	7684875	7696736	-	protein_coding
109196849	NC_031965.1	7706967	7710294	+	lncRNA
100695761	NC_031965.1	7735472	7738495	+	protein_coding
100695497	NC_031965.1	7743603	7761978	+	protein_coding
100695233	NC_031965.1	7763406	7810566	-	protein_coding
100702741	NC_031965.1	7812320	7824663	-	protein_coding
100702470	NC_031965.1	7826011	7831476	+	protein_coding
100534500	NC_031965.1	7840225	7854697	-	protein_coding
100694964	NC_031965.1	7855010	7856602	+	protein_coding
102076326	NC_031965.1	7856629	7910364	+	protein_coding
109197316	NC_031965.1	7930407	7934025	+	lncRNA
100701934	NC_031965.1	7959262	7982308	-	protein_coding
100694705	NC_031965.1	7980537	7988141	+	protein_coding
102075904	NC_031965.1	7988045	8007958	-	protein_coding
100701659	NC_031965.1	8008688	8054001	+	protein_coding
100701386	NC_031965.1	8071137	8229596	-	protein_coding
100701115	NC_031965.1	8233692	8243133	+	protein_coding
102083325	NC_031965.1	8243231	8260049	+	protein_coding
100694434	NC_031965.1	8260720	8278960	+	protein_coding
100700844	NC_031965.1	8280303	8287397	-	protein_coding
100700576	NC_031965.1	8289321	8296061	-	protein_coding
100700300	NC_031965.1	8297060	8301213	+	protein_coding
100700029	NC_031965.1	8329133	8339698	+	protein_coding
102082597	NC_031965.1	8345589	8348010	-	protein_coding
109198177	NC_031965.1	8346237	8347144	+	lncRNA
100694168	NC_031965.1	8350013	8360581	+	protein_coding
100699764	NC_031965.1	8364314	8369595	-	protein_coding
100693894	NC_031965.1	8371127	8405085	-	protein_coding
100693631	NC_031965.1	8409698	8418839	-	protein_coding
100693366	NC_031965.1	8422279	8575335	-	protein_coding
100692460	NC_031965.1	8642233	8655480	-	protein_coding
100692191	NC_031965.1	8657116	8663630	-	protein_coding
100691922	NC_031965.1	8666782	8763284	-	protein_coding
100698686	NC_031965.1	8763603	8766075	+	protein_coding
102079700	NC_031965.1	8777701	8802143	-	protein_coding
100691655	NC_031965.1	8802237	8881752	-	protein_coding
100691384	NC_031965.1	8892453	8971527	-	protein_coding
100691116	NC_031965.1	8974639	8996647	-	protein_coding
100690854	NC_031965.1	8999623	9009812	+	protein_coding
100689772	NC_031965.1	9014009	9018431	+	protein_coding
100690579	NC_031965.1	9019766	9093414	-	protein_coding
100690309	NC_031965.1	9094166	9095932	+	protein_coding
100690041	NC_031965.1	9100589	9151740	-	protein_coding
106098640	NC_031965.1	9171000	9174177	-	lncRNA
100712392	NC_031965.1	9176468	9220303	+	protein_coding
100692729	NC_031965.1	9220455	9225786	-	protein_coding
106098643	NC_031965.1	9225807	9227099	+	lncRNA
109200214	NC_031965.1	9232874	9259311	+	protein_coding
109202941	NC_031965.1	9267076	9267146	-	tRNA
100689967	NC_031965.1	9285458	9340558	+	protein_coding
100690233	NC_031965.1	9354768	9364139	+	protein_coding
100695694	NC_031965.1	9369297	9381065	+	protein_coding
100690688	NC_031965.1	9514498	9543455	-	protein_coding
100695959	NC_031965.1	9671823	9711020	-	protein_coding
100691845	NC_031965.1	9715973	9726159	-	protein_coding
100696221	NC_031965.1	9733485	9735275	-	protein_coding
100692112	NC_031965.1	9737495	9796131	-	protein_coding
102081080	NC_031965.1	9796072	9799771	+	pseudogene
100696486	NC_031965.1	9815276	9823259	-	protein_coding
100696755	NC_031965.1	9836709	9896580	-	protein_coding
106096667	NC_031965.1	9917161	9918038	-	lncRNA
100692385	NC_031965.1	9920557	9948415	-	protein_coding
109202217	NC_031965.1	9964765	9965586	-	protein_coding
100697556	NC_031965.1	9970718	9973251	-	protein_coding
109202799	NC_031965.1	9984909	9987182	-	protein_coding
100698095	NC_031965.1	10006426	10023343	-	protein_coding
100692840	NC_031965.1	10037340	10042329	-	protein_coding
100698362	NC_031965.1	10042467	10045776	+	protein_coding
100693114	NC_031965.1	10048582	10054728	+	protein_coding
100693385	NC_031965.1	10058046	10065297	+	protein_coding
109201968	NC_031965.1	10067482	10069018	+	lncRNA
109202258	NC_031965.1	10069027	10077373	+	protein_coding
100698626	NC_031965.1	10089434	10106127	-	protein_coding
100698897	NC_031965.1	10108730	10118765	+	protein_coding
100699163	NC_031965.1	10120482	10125627	+	protein_coding
102078581	NC_031965.1	10124658	10134135	-	protein_coding
100693649	NC_031965.1	10134143	10136456	+	protein_coding
106096668	NC_031965.1	10144205	10148743	+	lncRNA
100693914	NC_031965.1	10146315	10150917	-	protein_coding
100699430	NC_031965.1	10150537	10160490	+	protein_coding
100694189	NC_031965.1	10166310	10167783	-	protein_coding
100699700	NC_031965.1	10168023	10174723	-	protein_coding
100699966	NC_031965.1	10174805	10191661	+	protein_coding
100700234	NC_031965.1	10191561	10198844	-	protein_coding
100700511	NC_031965.1	10204635	10211008	-	protein_coding
100700777	NC_031965.1	10234410	10237769	+	lncRNA
100694453	NC_031965.1	10246943	10254606	+	protein_coding
100701047	NC_031965.1	10254817	10271759	+	protein_coding
100701320	NC_031965.1	10274454	10289078	+	protein_coding
100701590	NC_031965.1	10302782	10364846	+	protein_coding
100694899	NC_031965.1	10365106	10367988	-	protein_coding
100695171	NC_031965.1	10370805	10382426	-	protein_coding
100695432	NC_031965.1	10385933	10389117	-	protein_coding
100701866	NC_031965.1	10393089	10402699	+	protein_coding
109201285	NC_031965.1	10404339	10408982	-	protein_coding
109201243	NC_031965.1	10413782	10416713	+	pseudogene
109201975	NC_031965.1	10423741	10426948	-	lncRNA
106097709	NC_031965.1	10434807	10448181	+	protein_coding
106097760	NC_031965.1	10455153	10470540	-	protein_coding
109201985	NC_031965.1	10476365	10477028	+	lncRNA
109202223	NC_031965.1	10488038	10489460	+	protein_coding
106097703	NC_031965.1	10495639	10517803	+	protein_coding
102082492	NC_031965.1	10527666	10540528	-	protein_coding
109201999	NC_031965.1	10549505	10552163	+	lncRNA
109197775	NC_031965.1	10571774	10580661	-	protein_coding
100710893	NC_031965.1	10584561	10587496	+	protein_coding
109201891	NC_031965.1	10611240	10615973	+	protein_coding
109195544	NC_031965.1	10616704	10625078	-	protein_coding
109201447	NC_031965.1	10632224	10635114	+	protein_coding
100711158	NC_031965.1	10657849	10678028	-	protein_coding
109201994	NC_031965.1	10817755	10818804	-	lncRNA
109202240	NC_031965.1	10820741	10823628	-	protein_coding
100711428	NC_031965.1	10933200	10972301	+	protein_coding
100711699	NC_031965.1	10972411	10978222	-	protein_coding
100708217	NC_031965.1	10981798	10984830	+	protein_coding
100708484	NC_031965.1	10996462	11016360	+	protein_coding
100708753	NC_031965.1	11026471	11040635	+	protein_coding
100709021	NC_031965.1	11040729	11048117	-	protein_coding
100709294	NC_031965.1	11060419	11075051	-	protein_coding
100711969	NC_031965.1	11078136	11087670	+	protein_coding
100709832	NC_031965.1	11108951	11123060	+	protein_coding
102082713	NC_031965.1	11134939	11140279	+	protein_coding
100712237	NC_031965.1	11140494	11152662	-	protein_coding
100712505	NC_031965.1	11158445	11162232	+	protein_coding
106097780	NC_031965.1	11162515	11168481	-	protein_coding
109201949	NC_031965.1	11176644	11181596	-	protein_coding
109201153	NC_031965.1	11190731	11192280	-	protein_coding
102079190	NC_031965.1	11193341	11197850	+	protein_coding
100710099	NC_031965.1	11203710	11215070	-	protein_coding
100689888	NC_031965.1	11219052	11223470	+	protein_coding
100690151	NC_031965.1	11233776	11284976	+	protein_coding
102083186	NC_031965.1	11286281	11294348	+	protein_coding
100690419	NC_031965.1	11294416	11301334	-	protein_coding
100690695	NC_031965.1	11301625	11316838	+	protein_coding
100710362	NC_031965.1	11320146	11352165	-	protein_coding
100690963	NC_031965.1	11351595	11355225	+	protein_coding
100691225	NC_031965.1	11364073	11370987	-	protein_coding
100691495	NC_031965.1	11370920	11378797	+	protein_coding
100691761	NC_031965.1	11380027	11387523	+	protein_coding
100710628	NC_031965.1	11386960	11392751	-	protein_coding
102075753	NC_031965.1	11468965	11484262	+	protein_coding
109201213	NC_031965.1	11488989	11492716	+	lncRNA
109201214	NC_031965.1	11502459	11502777	-	lncRNA
109201247	NC_031965.1	11531398	11532118	-	lncRNA
109201245	NC_031965.1	11533044	11533667	-	lncRNA
100690562	NC_031965.1	11535629	11550316	+	protein_coding
100700735	NC_031965.1	11556379	11569654	-	protein_coding
100700469	NC_031965.1	11568997	11577038	+	protein_coding
106098268	NC_031965.1	11569936	11570536	-	lncRNA
100700193	NC_031965.1	11577081	11619520	-	protein_coding
100699925	NC_031965.1	11621796	11649141	+	protein_coding
109201290	NC_031965.1	11650403	11652251	+	protein_coding
100699658	NC_031965.1	11657956	11710684	-	protein_coding
100699386	NC_031965.1	11714635	11725562	+	protein_coding
100699119	NC_031965.1	11725370	11732250	-	protein_coding
100703531	NC_031965.1	11735779	11742172	+	protein_coding
100703070	NC_031965.1	11746186	11767406	+	protein_coding
100698851	NC_031965.1	11770588	11776441	+	protein_coding
100698579	NC_031965.1	11785349	11794098	-	protein_coding
102079585	NC_031965.1	11796597	11798950	+	protein_coding
102079692	NC_031965.1	11806216	11807898	+	lncRNA
100698318	NC_031965.1	11812560	11816885	+	protein_coding
102079786	NC_031965.1	11822644	11825167	+	protein_coding
102080484	NC_031965.1	11835624	11838190	+	protein_coding
100698051	NC_031965.1	11841853	11864620	+	protein_coding
100702804	NC_031965.1	11866412	11870376	+	protein_coding
100697787	NC_031965.1	11872436	11879466	+	protein_coding
100697516	NC_031965.1	11881417	11896499	+	protein_coding
100697251	NC_031965.1	11896764	11899876	-	protein_coding
100696982	NC_031965.1	11935271	11949238	-	protein_coding
102075875	NC_031965.1	11958908	11968413	+	protein_coding
102076609	NC_031965.1	11975399	12000238	+	protein_coding
102080666	NC_031965.1	12003478	12012454	+	protein_coding
100696716	NC_031965.1	12014415	12032503	+	protein_coding
100702267	NC_031965.1	12033911	12036851	-	protein_coding
100702003	NC_031965.1	12036821	12044773	+	protein_coding
100696448	NC_031965.1	12064860	12070173	+	protein_coding
100701729	NC_031965.1	12075362	12082844	+	protein_coding
100696180	NC_031965.1	12083219	12101818	-	protein_coding
100701457	NC_031965.1	12129033	12132715	-	protein_coding
100695921	NC_031965.1	12136069	12152538	+	protein_coding
100695654	NC_031965.1	12158088	12172190	+	protein_coding
102081859	NC_031965.1	12158352	12160119	-	lncRNA
100701187	NC_031965.1	12173180	12203449	+	protein_coding
100700908	NC_031965.1	12205071	12229919	+	protein_coding
100695393	NC_031965.1	12230211	12239497	-	protein_coding
102079875	NC_031965.1	12248435	12322279	+	protein_coding
100694862	NC_031965.1	12323858	12335584	+	protein_coding
100694597	NC_031965.1	12335401	12381881	-	protein_coding
102083273	NC_031965.1	12381991	12383781	+	lncRNA
100694330	NC_031965.1	12384636	12394748	-	protein_coding
100694057	NC_031965.1	12399567	12402237	-	protein_coding
100700468	NC_031965.1	12402600	12410423	+	protein_coding
100700192	NC_031965.1	12411785	12420516	+	protein_coding
100699924	NC_031965.1	12422265	12432258	+	protein_coding
102076516	NC_031965.1	12447472	12478199	-	lncRNA
100699657	NC_031965.1	12478195	12485034	+	protein_coding
100699385	NC_031965.1	12486043	12489120	+	protein_coding
109201576	NC_031965.1	12543793	12545095	-	lncRNA
109201585	NC_031965.1	12585594	12591236	+	protein_coding
100693785	NC_031965.1	12635287	12823264	+	protein_coding
109201610	NC_031965.1	12912689	12915537	-	protein_coding
102076935	NC_031965.1	13168112	13172202	+	protein_coding
100699118	NC_031965.1	13201215	13217452	-	protein_coding
100693248	NC_031965.1	13223395	13382066	+	protein_coding
100698850	NC_031965.1	13579067	13641791	-	protein_coding
102077424	NC_031965.1	13709980	13714503	+	lncRNA
109201680	NC_031965.1	13862585	13867255	+	lncRNA
102079054	NC_031965.1	13937397	13951925	+	protein_coding
100698578	NC_031965.1	13951732	13959431	-	protein_coding
100692979	NC_031965.1	13961660	13971430	-	protein_coding
100698317	NC_031965.1	13975723	13986170	-	protein_coding
100692705	NC_031965.1	13986943	13995930	+	protein_coding
100692435	NC_031965.1	13997677	14006157	+	protein_coding
100692166	NC_031965.1	14006374	14013976	-	protein_coding
100691899	NC_031965.1	14016607	14024903	-	protein_coding
100691631	NC_031965.1	14025928	14032413	-	protein_coding
100691360	NC_031965.1	14031639	14042379	+	protein_coding
100698050	NC_031965.1	14043424	14047550	-	protein_coding
100697786	NC_031965.1	14048924	14058531	+	protein_coding
100691091	NC_031965.1	14059654	14076526	+	protein_coding
100690828	NC_031965.1	14078049	14092750	-	protein_coding
100690554	NC_031965.1	14095763	14108633	-	protein_coding
100690286	NC_031965.1	14109303	14152308	-	protein_coding
100697515	NC_031965.1	14160949	14174565	+	protein_coding
100690019	NC_031965.1	14176116	14185968	-	protein_coding
102080134	NC_031965.1	14186066	14189758	-	protein_coding
102080054	NC_031965.1	14192572	14195808	-	protein_coding
100689751	NC_031965.1	14195959	14206277	-	protein_coding
100712372	NC_031965.1	14206705	14210918	+	protein_coding
100712104	NC_031965.1	14210921	14212747	-	protein_coding
100697250	NC_031965.1	14212920	14216468	+	protein_coding
100696981	NC_031965.1	14217213	14222025	+	protein_coding
100711837	NC_031965.1	14224380	14233227	+	protein_coding
100711569	NC_031965.1	14233419	14236242	-	protein_coding
109203255	NC_031965.1	14237067	14240471	+	lncRNA
100711032	NC_031965.1	14253922	14261516	+	protein_coding
106098274	NC_031965.1	14266423	14270334	+	lncRNA
100710764	NC_031965.1	14270781	14414705	+	protein_coding
100710496	NC_031965.1	14438367	14574242	-	protein_coding
106098269	NC_031965.1	14450909	14454244	+	lncRNA
100710239	NC_031965.1	14693662	14724792	+	protein_coding
102080850	NC_031965.1	14733104	14746042	+	protein_coding
100696715	NC_031965.1	14736421	14738122	-	protein_coding
109201878	NC_031965.1	14757124	14760186	+	lncRNA
106098275	NC_031965.1	14768596	14779829	-	lncRNA
102081837	NC_031965.1	14786230	14789266	-	protein_coding
100709972	NC_031965.1	14798352	14805183	-	protein_coding
100696267	NC_031965.1	14807273	14814870	-	protein_coding
100709700	NC_031965.1	14816917	14886881	-	protein_coding
102082172	NC_031965.1	14866108	14872045	+	lncRNA
100709429	NC_031965.1	14914532	14919743	-	protein_coding
100695831	NC_031965.1	14920504	14923121	-	protein_coding
100695564	NC_031965.1	14926930	14930024	+	protein_coding
100709162	NC_031965.1	14930232	14960173	+	protein_coding
100708892	NC_031965.1	14982423	14990108	-	protein_coding
100695127	NC_031965.1	14991822	14999559	+	protein_coding
102083064	NC_031965.1	15021901	15026643	-	protein_coding
100694861	NC_031965.1	15031945	15045264	+	protein_coding
100708622	NC_031965.1	15046133	15065006	+	protein_coding
100694596	NC_031965.1	15065925	15074400	-	protein_coding
100694329	NC_031965.1	15074470	15076519	-	protein_coding
100694056	NC_031965.1	15077959	15101687	-	protein_coding
106098270	NC_031965.1	15090266	15094068	+	lncRNA
102075844	NC_031965.1	15094147	15095005	+	lncRNA
100693610	NC_031965.1	15102098	15103791	+	protein_coding
100708349	NC_031965.1	15103821	15107063	-	protein_coding
100708079	NC_031965.1	15112325	15153514	-	protein_coding
109201888	NC_031965.1	15136773	15139374	+	lncRNA
100707810	NC_031965.1	15231400	15268738	+	protein_coding
100707540	NC_031965.1	15298199	15315840	+	protein_coding
100707281	NC_031965.1	15315914	15325817	-	protein_coding
100707014	NC_031965.1	15327986	15433972	+	protein_coding
100706744	NC_031965.1	15436065	15453021	+	protein_coding
100706473	NC_031965.1	15452993	15462276	-	protein_coding
100706212	NC_031965.1	15467599	15471514	+	protein_coding
100705942	NC_031965.1	15484610	15490911	-	protein_coding
106098272	NC_031965.1	15494522	15510490	+	protein_coding
100705681	NC_031965.1	15527419	15536794	-	protein_coding
100693343	NC_031965.1	15538557	15552692	+	protein_coding
100693072	NC_031965.1	15552798	15558497	-	protein_coding
100692797	NC_031965.1	15559625	15567362	-	protein_coding
100692528	NC_031965.1	15567308	15570853	+	protein_coding
100692258	NC_031965.1	15572949	15575918	-	protein_coding
100691806	NC_031965.1	15585924	15588852	-	protein_coding
100691536	NC_031965.1	15594538	15603193	-	protein_coding
100691267	NC_031965.1	15606066	15631494	-	protein_coding
100705417	NC_031965.1	15640600	15676262	-	protein_coding
100691003	NC_031965.1	15676294	15727019	+	protein_coding
102081115	NC_031965.1	15858098	15867202	+	protein_coding
109201917	NC_031965.1	15911849	15916036	+	lncRNA
100705147	NC_031965.1	15940166	15972377	+	protein_coding
100690737	NC_031965.1	15975595	16009422	-	protein_coding
100690463	NC_031965.1	16012689	16022638	-	protein_coding
100704878	NC_031965.1	16033723	16053676	+	protein_coding
100690194	NC_031965.1	16055328	16067900	+	protein_coding
100704610	NC_031965.1	16068372	16084656	-	protein_coding
100704341	NC_031965.1	16097065	16113529	-	protein_coding
100704073	NC_031965.1	16114821	16143754	-	protein_coding
109201932	NC_031965.1	16155329	16158920	+	lncRNA
109202829	NC_031965.1	16161492	16163396	-	lncRNA
109202837	NC_031965.1	16163461	16165937	-	lncRNA
102081887	NC_031965.1	16181087	16182131	+	lncRNA
106097490	NC_031965.1	16186560	16188709	-	lncRNA
109194166	NC_031965.1	16189301	16198969	-	protein_coding
100706433	NC_031965.1	16309079	16314723	-	protein_coding
100706174	NC_031965.1	16318275	16383881	+	protein_coding
109201939	NC_031965.1	16400205	16421587	+	lncRNA
100705905	NC_031965.1	16464670	16509412	-	protein_coding
100705642	NC_031965.1	16624831	16642185	+	protein_coding
100705376	NC_031965.1	16654116	16661648	-	protein_coding
100705111	NC_031965.1	16670002	16725776	+	protein_coding
100704842	NC_031965.1	16760574	16874786	-	protein_coding
100706340	NC_031965.1	17029520	17041234	+	protein_coding
