species,TFTx,BPP/CNP,CRISP,CTL,GF,KSPI,LAAO,ePLA2,vPLA2,SVMP,SVSP,Total,cm,Family,Author,Tech,Ref
Bothrops_neuwiedi,0,0.174,0.007,0.086,0.0036,0,0.029,0,0.264,0.36,0.053,0.9766,65,Viperidae,Rodigues et al. (2012),MegaBACE (GE),https://doi.org/10.1016/j.jprot.2012.03.028
Bungarus_flaviceps,0.3929,0,0.0044,0.0044,0,0.2406,0,0.3532,0,0,0,0.9955,185,Elapidae,Siang et al. (2010),ABI PRISM,https://dx.doi.org/10.1186/1471-2199-11-24
Bungarus_multicinctus,0.647,0,0.007,0.038,0.002,0.106,0.001,0.174,0,0,0.001,0.976,125,Elapidae,Jiang et al. (2011),ABI 3100,https://doi.org/10.1186/1471-2164-12-1
Cerrophidion_godmani,0.006,0.083,0.026,0.002,0.006,0,0.055,0,0.079,0.422,0.281,0.96,55,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Crotalus_adamanteus,0,0.00726,0.01317,0.22155,0.00023,0.00054,0.05309,0,0.0781,0.2441,0.19979,0.81783,244,Viperidae,Rokyta et al. (2012),Illumina,https://doi.org/10.1186/1471-2164-13-312
Crotalus_durissus,0,0,0,0,0.04,0,0,0,0.88,0.03,0.025,0.975,150,Viperidae,Boldrini-Franca et al. (2009),MegaBACE (GE),https://doi.org/10.1016/j.biochi.2009.02.001
Crotalus_horridus,0,0.12519,0.00775,0.00213,0.02285,0.00119,0.01106,0,0.22772,0.00111,0.58229,0.98129,121,Viperidae,Rokyta et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-394
Crotalus_scutulatus,0,0.20121,0.00481,0.16943,0.02,0.00021,0.00925,0,0.18171,0.14363,0.11692,0.84717,137.3,Viperidae,Strickland et al. (2018),Illumina,https://dx.doi.org/10.3390/toxins10040135
Crotalus_simus,0.127,0.134,0,0.024,0,0.0015,0.038,0,0.121,0.065,0.281,0.7915,150,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Dispholidus_typus,0.062,0,0.054,0.004,0.001,0.0015,0,0.076,0,0.7464,0.055,0.9999,135,Colubridae,Pla et al. (2017),Illumina,https://doi.org/10.1016/j.bbagen.2017.01.020
Drysdalia_coronoides,0.86,0,0.028,0,0.014,0,0,0.0024,0,0,0.092,0.9964,40,Elapidae,Chatrath et al. (2011),ABI PRISM,https://dx.doi.org/10.1021/pr1008916
Echis_carinatus,0,0,0.01934,0.17602,0.0058,0.00193,0.01161,0,0.08317,0.64603,0.04836,0.99226,60,Viperidae,Casewell et al. (2009),ABI 3730,https://doi.org/10.1186/1471-2164-10-564
Echis_coloratus,0,0,0.05426,0.10543,0.0062,0,0.04031,0,0.05426,0.68527,0.04496,0.99069,62.7,Viperidae,Casewell et al. (2009),ABI 3730,https://doi.org/10.1186/1471-2164-10-564
Echis_ocellatus,0,0,0.00297,0.10979,0.02671,0.00193,0.01187,0,0.08605,0.73591,0.02374,0.99897,40,Viperidae,Casewell et al. (2009),ABI 3730,https://doi.org/10.1186/1471-2164-10-564
Echis_pyramidum,0,0,0,0.24011,0.00582,0,0.02639,0,0.2058,0.5,0.01979,0.99791,65,Viperidae,Casewell et al. (2009),ABI 3730,https://doi.org/10.1186/1471-2164-10-564
Gloydius_intermedius,0,0.049,0.049,0.049,0.146,0,0.024,0,0.122,0.17,0.22,0.829,53.3,Viperidae,Yang et al. (2015),MegaBACE (GE),https://doi.org/10.1016/j.toxicon.2015.08.010
Hypsiglena_torquata,0.0007,0.07359,0.16684,0.06176,0.00012,0.00056,0,0,0,0.68666,0,0.99023,48,Colubridae,McGivern et al. (2014),Illumina,https://doi.org/10.1186/1471-2164-15-1061
Lachesis_muta,0.016,0.732,0,0.058,0.003,0,0.037,0,0.047,0.059,0.035,0.987,225,Viperidae,Lnacio et al. (2007),ABI 3100,https://doi.org/10.1534/genetics.106.056515
Micrurus_altirostris,0.864,0,0,0.013,0,0.038,0,0.049,0,0.006,0,0.97,64,Elapidae,Correa-Netto et al. (2011),ABI 3100,https://doi.org/10.1016/j.jprot.2011.04.003
Micrurus_corallinus,0.203,0.2953,0,0.067,0.0183,0.0015,0.0084,0.3768,0,0.021,0.001,0.9923,72.5,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_fulvius,0.2516,0,0,0.00799,0.016,0.02154,0.0088,0.64947,0,0.02947,0,0.98487,55,Elapidae,Margres et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-531
Micrurus_lemniscatus,0.6722,0.002,0.0024,0.0048,0.0142,0.0715,0.0073,0.172,0,0.0112,0.001,0.9586,120,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_spixii,0.6264,0,0,0,0,0,0,0.3639,0,0,0,0.9903,75,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_surinamensis,0.6024,0.0267,0,0.0034,0.0788,0.0107,0,0.2623,0,0.0014,0,0.9857,68,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Naja_atra,0.958,0,0.007,0.006,0.001,0.001,0.001,0.012,0,0.004,0,0.99,150,Elapidae,Jiang et al. (2011),ABI 3100,https://doi.org/10.1186/1471-2164-12-1
Naja_kaouthia,0.82,0,0,0.005,0.003,0.001,0.002,0.136,0,0.011,0,0.978,150,Elapidae,Xu et al. (2017),Illumina,https://doi.org/10.1016/j.jprot.2017.02.018
Opheodrys_aestivus,0.133,0,0,0,0,0,0,0.036,0,0,0,0.169,91.5,Colubridae,Hargreaves et al. (2014),Illumina,https://doi.org/10.1016/j.toxicon.2014.10.004
Ophiophagus_hannah,0.43,0,0.087,0,0.008,0.01,0.057,0.04,0,0.244,0.007,0.883,425,Elapidae,Tan et al. (2015),Illumina,https://dx.doi.org/10.1186/s12864-015-1828-2
Ovophis_okinavensis,0,0,0,0.00579,0.00008,0,0.00623,0,0.00647,0.0422,0.86176,0.92253,55,Viperidae,Aird et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-790
Pantherophis_guttatus,0.01,0,0.022,0,0,0,0,0.129,0,0,0,0.161,150,Colubridae,Hargreaves et al. (2014),Illumina,https://doi.org/10.1016/j.toxicon.2014.10.004
Phalotris_mertensi,0.018,0.0014,0.0033,0.216,0.0004,0.439,0.023,0,0,0.2204,0.0022,0.9237,100,Colubridae,Campos et al. (2016),ABI 3100,https://doi.org/10.1093/gbe/evw149
Philodryas_olfersii,0,0.224,0.104,0.058,0,0,0,0,0,0.524,0.089,0.999,125,Colubridae,Ching et al. (2006),ABI 3100 ,https://doi.org/10.1016/j.febslet.2006.07.010
Protobothrops_elegans,0,0.014,0.00001,0.002,0.006,0,0.005,0,0.771,0.081,0.104,0.98301,120,Viperidae,Aird et al. (2015),Illumina,https://doi.org/10.1186/s12864-015-1832-6
Protobothrops_flavoviridis,0,0,0.03854,0.15356,0.0096,0,0.09071,0,0.32136,0.26975,0.11054,0.99406,137,Viperidae,Aird et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-790
Protobothrops_mucrosquamatus,0,0,0.01018,0.01018,0.00647,0,0.012,0,0.25746,0.39966,0.28076,0.97671,116,Viperidae,Aird et al. (2017),Illumina,https://doi.org/10.1093/gbe/evx199
Pseudonaja_textilis,0.10633,0,0.03846,0,0.00452,0.0181,0,0.18778,0,0,0.42534,0.78053,150,Elapidae,Reeks et al. (2016),Roche GS FLX,https://doi.org/10.1016/j.jprot.2015.11.019
Sistrurus_catenatus,0.0083,0.0028,0.0667,0.0139,0.0667,0,0.0361,0,0.2806,0.1222,0.375,0.9723,73.5,Viperidae,Pahari et al. (2007),ABI 3100,https://doi.org/10.1186/1471-2199-8-115
Thamnodynastes_strigatus,0.002,0,0.019,0.054,0,0,0,0,0,0.844,0.007,0.926,70,Colubridae,Ching et al. (2011),ABI 3100,https://dx.doi.org/10.1021/pr200876c
